Id,WurflId,91mobilesId
"84","Asus Zenfone 5 2014_july ","Asus Zenfone 5 16GB 2014_july "
"85","Micromax Q395 Canvas Amaze Q395 2015_november ","Micromax Canvas Amaze Q395 2015_november "
"86","Intex Cloud Swift 2015_october ","Intex Cloud Swift 2015_october "
"87","Micromax Canvas Nitro 2014_september ","Micromax Canvas Nitro A310 2014_september "
"88","Micromax Canvas Hue 2 2015_june ","Micromax Canvas Hue 2 A316 2015_june "
"89","Panasonic Eluga S 2014_november ","Panasonic Eluga S 2014_november "
"90","Micromax Canvas Selfie 3 2015_august ","Micromax Canvas Selfie 3 Q348 2015_august "
"91","Micromax Canvas Fire 4 2015_march ","Micromax Canvas Fire 4 2015_march "
"92","Micromax Canvas Xpress 2014_december ","Micromax Canvas Xpress A99 2014_december "
"93","Sony Xperia E1 Dual (Falcon DS) 2014_march ","Sony Xperia E1 Dual 2014_march "
"94","Micromax Canvas Doodle 3 2014_april ","Micromax Canvas Doodle 3 2014_april "
"95","Micromax Bolt S301 2015_july ","Micromax Bolt S301 2015_july "
"96","iBall Andi Avonte 5 2015_june ","iBall Andi Avonte 5 2015_june "
"97","Lava Atom 2 Iris Atom 2 2015_august ","Lava Iris Atom 2 2015_august "
"98","Micromax Q332 Bolt Q332 2015_october ","Micromax Bolt Q332 2015_october "
"99","Micromax Canvas Selfie 2 2015_august ","Micromax Canvas Selfie 2 Q340 2015_august "
