Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
KARNATAKA,BANGALORE,SZKTBGLCMHRCCD,CMH Road - Cafe Day,Caf�,,
KARNATAKA,BANGALORE,SZKTBGLCTOBLDG,CTO building Bangalore,Office,,92
KARNATAKA,BANGALORE,SZKTBGLCUBNPRK,Cuban Park Bangalore,Tourist Spot,,43
KARNATAKA,BANGALORE,SZKTBGLCVRNRTE,CVRnagar_TE.,Municipality,,205
KARNATAKA,BANGALORE,SZKTBGLDOMLRTE,Domlur_Exch.,Telephone exchange,,150
KARNATAKA,BANGALORE,SZKTBGLDORVNCS,DOORAVANINAGAR CSC.,BSNL Customer Service Center,,
KARNATAKA,BANGALORE,SZKTBGLGDWLACL,Goodwill Apartment-Chandra Layout Bangalore ,Residential,,60
KARNATAKA,BANGALORE,SZKTBGLGLOBVIG,MIND TREE Global Village,Office,,224
KARNATAKA,BANGALORE,SZKTBGLGNDNRCS,Gandhi Nagar CSC,BSNL Customer Service Center,,74
KARNATAKA,BANGALORE,SZKTBGLHSKRLTE,Hosakerehalli Telephone Exchange,Telephone exchange,,452
KARNATAKA,BANGALORE,SZKTBGLHSKTEXG,Hoskote telephone exchange,Telephone exchange,,62
KARNATAKA,BANGALORE,SZKTBGLIMABEXG,Fort_RSU_IMA_Bldg.,,,401
KARNATAKA,BANGALORE,SZKTBGLINDNRCS,INDIRANAGAR CSC,BSNL Customer Service Center,,53
KARNATAKA,BANGALORE,SZKTBGLJLHLICS,Jalahalli,Municipality,Town,49
KARNATAKA,BANGALORE,SZKTBGLJPNRBIL,JP Nagar 7th phase RBI Layout.,Municipality,,13
KARNATAKA,BANGALORE,SZKTBGLJYANRCS,Jayanagar CSC ,BSNL Customer Service Center,,60
KARNATAKA,BANGALORE,SZKTBGLKRSNRTE,Karisandra_Exch.,Telephone exchange,,170
KARNATAKA,BANGALORE,SZKTBGLKSLOTTE,Kumarswamy_LO TE.,Municipality,,441
KARNATAKA,BANGALORE,SZKTBGLLALBNCF,BNCF Office Lalbagh.,Office,,
KARNATAKA,BANGALORE,SZKTBGLLALGLHS,Glass House Lalbagh Bangalore.,Tourist Spot,,
KARNATAKA,BANGALORE,SZKTBGLMENAVBA,Menzies Aviation Bobba Aviation Centre,Office,,408
KARNATAKA,BANGALORE,SZKTBGLMSBULNG,MS building Bangalore,Office Complex,,252
KARNATAKA,BANGALORE,SZKTBGLNGVTPEX,NGV_TE.,,,13
KARNATAKA,BANGALORE,SZKTBGLNOC5FLR,BSNL NOC,,,149
KARNATAKA,BANGALORE,SZKTBGLNTPBLDG,NTP Building,,,5
KARNATAKA,BANGALORE,SZKTBGLPDMBNGR,Padmanabha nagar Telephone Exchange,Telephone exchange,,
KARNATAKA,BANGALORE,SZKTBGLPENYACS,PEENYA CSC.,BSNL Customer Service Center,,101
KARNATAKA,BANGALORE,SZKTBGLQDGNWTC,Brigade WTC  Bangalore,Commercial Office Space,,119
KARNATAKA,BANGALORE,SZKTBGLRJJIEXG,Rajaji Nagar ,Residential,,147
KARNATAKA,BANGALORE,SZKTBGLRRNGEXG,Rajarajeshwari Nagar,Residential,,41
KARNATAKA,BANGALORE,SZKTBGLRTNAGAR,RT Nagar Exchange,Telephone exchange,,287
KARNATAKA,BANGALORE,SZKTBGLSHKREXG,Sahakaranagar_RSU.,Municipality,Town,9
KARNATAKA,BANGALORE,SZKTBGLSKPMTLE,Shankarpuram_Tel_Ex.,Telephone exchange,,103
KARNATAKA,BANGALORE,SZKTBGLSRNGRTE,City Exchange RS Nagar,,,149
KARNATAKA,BANGALORE,SZKTBGLULRBSNL,Halasuru Exchange Bangalore,Telephone exchange,,117
KARNATAKA,BANGALORE,SZKTBGLVDYRNCS,VIDYARANYAPURA CSC.,BSNL Customer Service Center,,2
KARNATAKA,BANGALORE,SZKTBGLVIMNRCS,VIMANAPURA CSC.,BSNL Customer Service Center,,73
KARNATAKA,BANGALORE,SZKTBGLVJNBSNL,Vijayanagar,Municipality,Town,978
KARNATAKA,BANGALORE,SZKTBGLWMSBLDG,WMS building,,,16
KARNATAKA,BANGALORE,SZKTBGLWTCH8ARUBA,Brigade WTC  Bangalore,Commercial Office Space,,
KARNATAKA,BANGALORE,SZKTBGLYSTPRCS,YESHWANTPUR CSC.,BSNL Customer Service Center,,
KARNATAKA,BELGAUM,SZKTBGMLXMICEX,Sri Lakshmi Complex  APMC Road  Sadashivanagar,Office Complex,,99
KARNATAKA,BELGAUM,SZKTBGMMGCLMEX,Manasa ganga Appartment M.G.Colony Tilakwadi,Residential,,29
KARNATAKA,BELGAUM,SZKTBGMMHTSNEX,BSNL TE Mahantesh Nagar,BSNL Office,,88
KARNATAKA,BELGAUM,SZKTBGMRDIOCEX,NEAR ANUPAM LODGE RADIO COMPLEX BELGAUM -590001,Municipality,,408
KARNATAKA,BIJAPUR,SZKTBJPBADGOND,Badagondi Bagalkot.,Municipality,,
KARNATAKA,BELLARY,SZKTBLYASIHMPI,Hampi,Village,,52
KARNATAKA,BELLARY,SZKTBLYKUDTINI,Kudatini Ballari Dist Kudatini.bellary,Municipality,,276
KARNATAKA,BELLARY,SZKTBLYKURUGOD,Kurugod Ballari Dist.Ballari,Municipality,,1108
KARNATAKA,CHIKMAGALUR,SZKTCKGGMOFFIC,GM office ,,,44
KARNATAKA,CHIKMAGALUR,SZKTCKGKOTEAGR,Kote Agrahara Circle,Municipality,,105
KARNATAKA,CHIKMAGALUR,SZKTCKGNLRGATE,Nellur gate KM Road,Municipality,,4
KARNATAKA,CHIKMAGALUR,SZKTCKGVJYPURA,Vijayapura Telephone Exchange,Telephone exchange,,
KARNATAKA,GULBARGA,SZKTGLBKHAJURI,Khajuri Kalburgi Dist.,Village,,5
KARNATAKA,GULBARGA,SZKTGLBMOGHAKG,Mogha Kalburgi ,Village,,
KARNATAKA,HUBLI,SZKTHBLAPMCMKT,APMC  Dharwad.,,,471
KARNATAKA,DHARWAD,SZKTHBLBSNLOFC,Hubli BSNL Office,Office,,505
KARNATAKA,DHARWAD,SZKTHBLBSNLVNR,Vidhyanagar BSNL Exchange ,Telephone exchange,,414
KARNATAKA,HUBLI,SZKTHBLCOTNMKT,Cotton market,Market,,
KARNATAKA,HUBLI,SZKTHBLDESAIPK,Desai Park Hubli.,Municipality,,118
KARNATAKA,HUBLI,SZKTHBLDJIBNPT,Dajiban Pet Hubli..,Municipality,Town,211
KARNATAKA,HUBLI,SZKTHBLDTTRYRD,Dattatray road Gadag.,Municipality,,851
KARNATAKA,DHARWAD,SZKTHBLGJNDREX,Gajendragarh Exchange,Telephone exchange,,146
KARNATAKA,HUBLI,SZKTHBLGKLRDTE,Tel.Exch.Gokul Road Hubli.,Telephone exchange,,431
KARNATAKA,HUBLI,SZKTHBLGNGMRSD,Gangamma Residency hubli.,Residential,,425
KARNATAKA,DHARWAD,SZKTHBLHARTIGG,Harti Gram panchayat,Municipality,Gram Panchayat,1545
KARNATAKA,HUBLI,SZKTHBLHRMRDTE,Haveri main Telephone Exchange,Telephone exchange,,132
KARNATAKA,DHARWAD,SZKTHBLHULKOTI,Hulkoti Gram panchayat.,Municipality,Gram Panchayat,2038
KARNATAKA,HUBLI,SZKTHBLJUBLICL,Jubli Circle Dharwad.,Municipality,,87
KARNATAKA,HUBLI,SZKTHBLLCHAVRI,Laxmi Complex,Municipality,,626
KARNATAKA,HUBLI,SZKTHBLMRWAVHR,Microwave Office,,,39
KARNATAKA,HUBLI,SZKTHBLNBSDRWD,New Bus stand Dharwad.,Bus Stand,,114
KARNATAKA,HUBLI,SZKTHBLNEWTENG,New Tel Exchange Gadag.,Telephone exchange,,2066
KARNATAKA,HUBLI,SZKTHBLRAILTWR,Railway Tower Gadag.,,,883
KARNATAKA,HUBLI,SZKTHBLRBNNRTE,Tel.exchange Ranebennur.,Telephone exchange,,91
KARNATAKA,HUBLI,SZKTHBLSAPTPUR,Saptapur Dharwad.,Municipality,Town,
KARNATAKA,HUBLI,SZKTHBLSHIRURP,Shirur Park,Municipality,Town,148
KARNATAKA,HUBLI,SZKTHBLSTRQTRS,STR Staff Quarters Gadag.,Residential,,686
KARNATAKA,DHARWAD,SZKTHBLUASPRGB,Pragathi Block.,,,
KARNATAKA,HUBLI,SZKTHBLUDAYHTL,Uday Hostel dharwad.,Hostel,,142
KARNATAKA,HUBLI,SZKTHBLVDBHVRI,Vidya Building Haveri.,,,177
KARNATAKA,HUBLI,SZKTHBLVIDYGRI,Vidyagiri Dharwad.,Municipality,Town,59
KARNATAKA,HASSAN,SZKTHSNGMOFCSC,CSC GM Office  Hassan.,BSNL Customer Service Center,,763
KARNATAKA,HASSAN,SZKTHSNMNEXCSC,CSC Main Exge  Hassan.,BSNL Customer Service Center,,160
KARNATAKA,HASSAN,SZKTHSNZPOFICE,ZP Office  Hassan.,Municipality,Zila Panchayat Office,187
KARNATAKA,MYSORE,SZKTMDYKRSGRDN,Brindavan Garden KRS Near Musical fountain.,Park,,291
KARNATAKA,MANDYA,SZKTMDYSACMUTT,Sri Adichunchanagiri Mutt,Religious Site - Ashram,,315
KARNATAKA,DAKSHINA KANNADA,SZKTMNGAIRPORT,Mangalore Airport,Airport,,3149
KARNATAKA,Mangalore,SZKTMNGBLTDCSC,Beltangady CSC Mangalore.,BSNL Customer Service Center,,313
KARNATAKA,Mangalore,SZKTMNGBNTWLTE,Bantwal EXGE  Mangalore.,Telephone exchange,,472
KARNATAKA,Mangalore,SZKTMNGBUNTHTL,BUNTS HOSTEL.,Hostel,,130
KARNATAKA,Mangalore,SZKTMNGCARSTRT,CAR STREET EXGE,,,73
KARNATAKA,DAKSHINA KANNADA,SZKTMNGCEOZPOF,ZP office Mangalore,Office,,207
KARNATAKA,DAKSHINA KANNADA,SZKTMNGDCOFICE,DC office Mangalores,Office,,143
KARNATAKA,Mangalore,SZKTMNGIMABTSS,IMA HOUSE BTS ,Residential,,81
KARNATAKA,Mangalore,SZKTMNGIMPCRTB,IMPERIAL COURT BTS,Court,,35
KARNATAKA,Mangalore,SZKTMNGKAVOORU,Kavooru Telephone Exchange,Telephone exchange,,119
KARNATAKA,DAKSHINA KANNADA,SZKTMNGKVGSULA,KVG Sullia Campus  Mangalore-DKTD,College,,224
KARNATAKA,Mangalore,SZKTMNGMBRKTCB,MUBARAK TC BTS ,BSNL Office,,142
KARNATAKA,Mangalore,SZKTMNGMNHDBTS,MANJESH ARCADE BTS.,,,160
KARNATAKA,Mangalore,SZKTMNGMNMTWRK,Millenium tower kankandy ,,,225
KARNATAKA,Mangalore,SZKTMNGMNRDBTS,MAIN ROAD BTS Mangalore.,Bus Terminal,,206
KARNATAKA,Mangalore,SZKTMNGNRMRGTE,Neermarg TE.,Municipality,,398
KARNATAKA,Mangalore,SZKTMNGPNDSRTE,Pandeshwara Exge Mangalore.,Municipality,,79
KARNATAKA,Mangalore,SZKTMNGPUTURTE,PUTTUR TE.,,,24
KARNATAKA,Mangalore,SZKTMNGPVSCRCL,PVS CIRCLE,Municipality,,182
KARNATAKA,Mangalore,SZKTMNGRTCENTR,Royal Towers city center,,,400
KARNATAKA,Mangalore,SZKTMNGTMPLSQR,Temple Square,Municipality,,121
KARNATAKA,Mangalore,SZKTMNGULALATE,ULLALA Exchange,Telephone exchange,,369
KARNATAKA,Mangalore,SZKTMNGUSKMUTT,Udupi sri Krishna mutt.,Temple,,427
KARNATAKA,Mangalore,SZKTMNGVNKTTWR,VENKATESH TOWER BTS ,,,26
KARNATAKA,MYSORE,SZKTMYSCCOMPLX,Court Complex Mysore,Court,,372
KARNATAKA,MYSORE,SZKTMYSGRGSWRI,Gargeshwari Mysore Dist Gargeshwari .mysore,Village,,1097
KARNATAKA,MYSORE,SZKTMYSRTTCBSN,RTTC Mysore,,,68
KARNATAKA,MYSORE,SZKTMYSTALAKAD,Talkad Mysore Dist,Municipality,Town,548
KARNATAKA,MYSORE,SZKTMYSZOOMYSR,MYSORE ZOO,Zoo,,364
KARNATAKA,TUMKUR,SZKTTMRHARLALU,Haralalu Tumkur Dist Haralalu.Tumkur,,,
KARNATAKA,TUMKUR,SZKTTMRYEDIYUR,Yediyur Tumkur ,Village,,36
TAMILNADU,COIMBATORE,SZTNCBTAIRPORT,Coimbatore Airport,Airport,,3256
TAMILNADU,COIMBATORE,SZTNCBTAUDISTR,Audi street.,,,156
TAMILNADU,COIMBATORE,SZTNCBTCOLCTRO,COLLECTORATE  COIMBATORE.,,,486
TAMILNADU,COIMBATORE,SZTNCBTKKINCOT,Kalaignar Karunanidhi Institute College Of Tech.,College,,17
TAMILNADU,COIMBATORE,SZTNCBTMTELEXC,Main Telephone Exchange CBT.,Telephone exchange,,1066
TAMILNADU,COIMBATORE,SZTNCBTPRNEWBS,New Bus Stand Tirupur.,Bus Stand,,1423
TAMILNADU,COIMBATORE,SZTNCBTPROLDBS,Old bus Stand Tirupur.,Bus Stand,,651
TAMILNADU,COIMBATORE,SZTNCBTSTBNKOI,State Bank Of India  Coimbatore,Bank,,139
TAMILNADU,CUDDALORE,SZTNCDLCHDTMTE,Chidambaram RSU Exchange.,Telephone exchange,,
TAMILNADU,ERODE,SZTNERDLEGORDN,HOTEL LEGORDIN  ERODE,Hotel,,93
TAMILNADU,ERODE,SZTNERDPRDRIBS,ERODE PERUNDURAI BUS STAND.,Bus Stand,,50
TAMILNADU,KARAIKUDI,SZTNKKDBSNLGMO,Karaikudi BSNL GM office Karaikudi,Office,,1561
TAMILNADU,MADURAI,SZTNMDUAIRPORT,Madurai Airport,Airport,,1128
TAMILNADU,MADURAI,SZTNMDUCHRISTE,North Chitrai Street Exchange,Municipality,Street,302
TAMILNADU,NAGARCOIL,SZTNNGCBSNLGMO,GM Office Nagerkoil.,Office,,29
TAMILNADU,NAGARCOIL,SZTNNGCKNKRRSU,Kanyakumari RSU Exchange.,Telephone exchange,,93
TAMILNADU,NAGARCOIL,SZTNNGCSDRMBTS,Suchidrum BTS.,Municipality,Town,23
TAMILNADU,OOTY,SZTNOTYBTCLGDN,Botanical Garden-Ooty,Tourist Spot,,325
TAMILNADU,OOTY,SZTNOTYCNRSPRK,Sims Park-Ooty,Tourist Spot,,128
TAMILNADU,OOTY,SZTNOTYCONRMKT,Coonoor Market-Ooty,Tourist Spot,,134
TAMILNADU,OOTY,SZTNOTYKDLURTE,Kudalur exchange.,Telephone exchange,,363
TAMILNADU,OOTY,SZTNOTYKTHRITE,Kothagiri exchange.,Telephone exchange,,106
TAMILNADU,OOTY,SZTNOTYOOTYTEX,Ooty Telephone exchange.,Telephone exchange,,232
TAMILNADU,PONDICHERRY,SZTNPDYBRTIPRK,Bharati park White Town,Tourist Spot,,796
TAMILNADU,PONDICHERRY,SZTNPDYCBRBTHS,Chunnambar Boat House,Boat House,,330
TAMILNADU,PONDICHERRY,SZTNPDYCSBCHRD,Chief Secretariat Office,Office,,526
TAMILNADU,PONDICHERRY,SZTNPDYLCBCHRD,Le Café,Caf�,,1940
TAMILNADU,PONDICHERRY,SZTNPDYMNEXRPS,Main Exchange  Rangapalli street.,Telephone exchange,,474
TAMILNADU,SALEM,SZTNSLMKSRCOET,KSR COLLEGE OF ENGG,College,,1172
TAMILNADU,SALEM,SZTNSLMMECMLSM,MAHENDRA ENGINEERING COLLEGE  MALLASAMUDRAM.,College,,475
TAMILNADU,SALEM,SZTNSLMNKLTPEX,Namakkal Telephone Exchange.,Telephone exchange,,21
TAMILNADU,SALEM,SZTNSLMSKCLTGD,SENKUNDAR ARTS & SCIENCE COLLEGE,College,,121
TAMILNADU,SALEM,SZTNSLMTOWNEXC,Town exchange,,,501
TAMILNADU,THANJAVUR,SZTNTNJBRDRTMP,Brihadeeswara Temple,Temple,,13
TAMILNADU,THANJAVUR,SZTNTNJBUSSTND,Thanjaur Busstand,Bus Stand,,222
TAMILNADU,THANJAVUR,SZTNTNJMAINTEX,Main Exchange Thanjavur.,Telephone exchange,,238
TAMILNADU,TRICHY,SZTNTRYAIRPORT,Trichy Airport,Airport,,3110
TAMILNADU,TRICHY,SZTNTRYMNGGATE,Main Guardgate Exchange  Trichy.,Telephone exchange,,708
TAMILNADU,TRICHY,SZTNTRYPDKTIBS,PUDHUKOTTAI BUS STAND.,Bus Stand,,986
TAMILNADU,TRICHY,SZTNTRYTXGTOFC,TAX building / GMT office  Trichy.,Office,,789
TAMILNADU,TUTICORIN,SZTNTTNAIRPORT,Tuticorin Airport,Airport,,36
TAMILNADU,VIRUDHUNAGAR,SZTNVGRSVKSIBS,Sivakasi Bus Stand.,Bus Stand,,135
TAMILNADU,VIRUDHUNAGAR,SZTNVGRVIRDNTE,Virudunagar Exchange,Telephone exchange,,427
CHHATTISGARH,BILASPUR,WZCHBLPARPALAK,River View Road,Municipality,Road,4413
CHHATTISGARH,BILASPUR,WZCHBLPCSCCEKB,CSC City Exchange Korba ,Telephone exchange,,4
CHHATTISGARH,BILASPUR,WZCHBLPCSCTYEB,CSC City Exchange,Telephone exchange,,115
CHHATTISGARH,BILASPUR,WZCHBLPCSCTYEK,Korba MP NagarExch.,Telephone exchange,,7
CHHATTISGARH,BILASPUR,WZCHBLPDTOCSCB,CSC Targhar DTO Bilaspur.,,,259
CHHATTISGARH,BILASPUR,WZCHBLPPTCLNEX,P&T Colony Kosabadi  Bilaspur,Municipality,Colony,71
CHHATTISGARH,DURG,WZCHDUGCSCPCHK,CSC Patel Chowk Durg..,BSNL Customer Service Center,,119
CHHATTISGARH,DURG,WZCHDUGCSCSECB,CSC Sector 1 Bhilai,,,35
CHHATTISGARH,RAIPUR,WZCHRYPAIMSHPL,AIIMS Hospital,Hospital,,489
CHHATTISGARH,RAIPUR,WZCHRYPANPMGDN,Anupam Garden,Tourist Spot,Garden,2266
CHHATTISGARH,RAIPUR,WZCHRYPCSCFAFA,CSC Fafadih,BSNL Customer Service Center,,55
CHHATTISGARH,RAIPUR,WZCHRYPCTOBSNL,BSNL office Raipur,Office,,426
CHHATTISGARH,RAIPUR,WZCHRYPCTOJSTM,CTO Jaistambh ,,,57
CHHATTISGARH,RAIPUR,WZCHRYPCTYCNMA,City Centre Mall,Mall,,806
CHHATTISGARH,RAIPUR,WZCHRYPDGIRLSC,Kalibadi Chowk,Municipality,Road,
CHHATTISGARH,RAIPUR,WZCHRYPHDMBREX,Chidambra,,,55
CHHATTISGARH,RAIPUR,WZCHRYPMEKRAHP,Mekahara Hospital  Raipur,Hospital,,185
CHHATTISGARH,RAIPUR,WZCHRYPNANMGDN,Nagar Nigam Garden - Raipur,Park,,2774
CHHATTISGARH,RAIPUR,WZCHRYPPANDRTE,RAI016_Pandri_Ex,,,416
CHHATTISGARH,RAIPUR,WZCHRYPRCPDBTS,Pachpedi Naka BTS,Bus Terminal,,949
CHHATTISGARH,RAIPUR,WZCHRYPSDMPOP1,Stadium Naya Raipur.,Stadium,,
CHHATTISGARH,RAIPUR,WZCHRYPSNDRTEG,Sundar Nagar,Municipality,Town,116
CHHATTISGARH,RAIPUR,WZCHRYPTGRNGRE,Tagore Nagar Raipur,Municipality,Town,83
GUJARAT,AHMEDABAD,WZGJAHDBDRACSC,Bhadra CSC,,,57
GUJARAT,AHMEDABAD,WZGJAHDHIGHCRT,Gujarat High Court.,Court,,642
GUJARAT,AHMEDABAD,WZGJAHDKGPSCSC,KGPS CSC.,BSNL Customer Service Center,,36
GUJARAT,AHMEDABAD,WZGJAHDKNKRCSC,Kankariya CSC  ,BSNL Customer Service Center,,19
GUJARAT,AHMEDABAD,WZGJAHDNRODCSC,Naroda CSC,BSNL Customer Service Center,,42
GUJARAT,AHMEDABAD,WZGJAHDNRPRCSC,Naranpura CSC,BSNL Customer Service Center,,67
GUJARAT,AHMEDABAD,WZGJAHDNVPRCSC,Navrangpura CSC,BSNL Customer Service Center,,66
GUJARAT,AHMEDABAD,WZGJAHDRLWPCSC,Railwaypura CSC.,BSNL Customer Service Center,,46
GUJARAT,AHMEDABAD,WZGJAHDSHAHBAG,Shahibaug CSC,BSNL Customer Service Center,,299
GUJARAT,AHMEDABAD,WZGJAHDVASNCSC,Vasna CSC.,BSNL Customer Service Center,,14
GUJARAT,AHMEDABAD,WZGJAHDVATVCSC,Vatva CSC ,BSNL Customer Service Center,,2
GUJARAT,AHMEDABAD,WZGJAHDVTPRCSC,Vastrapur CSC.,BSNL Customer Service Center,,23
GUJARAT,BHAVNAGAR,WZGJBHVNAGRCSC,BHAVNAGARCSC CSC.,BSNL Customer Service Center,,6
GUJARAT,BHUJ,WZGJBUJBHUJCSC,BHUJ CSC.,BSNL Customer Service Center,,62
GUJARAT,BHUJ,WZGJBUJGHDAMCS,GANDHIDHAM CSC Gujarat.,BSNL Customer Service Center,,45
GUJARAT,HIMATNAGAR,WZGJHMRBSNLCSC,BSNL Shop CSC.,BSNL Customer Service Center,,
GUJARAT,JAMNAGAR,WZGJJMNKVRDCSC,KV ROAD CSC,BSNL Customer Service Center,,39
GUJARAT,JUNAGARH,WZGJJNDGHBJCSC,GHB JUNAGADH CSC,BSNL Customer Service Center,,351
GUJARAT,JUNAGARH,WZGJJNDPRBRCSC,PORBANDARCSC.,BSNL Customer Service Center,,5
GUJARAT,PALANPUR,WZGJPLRJRVRCSC,Joravar Palace CSC.,BSNL Customer Service Center,,23
GUJARAT,RAJKOT,WZGJRJTAIRPORT,Rajkot Airport.,Airport,,632
GUJARAT,RAJKOT,WZGJRJTMOVIYAA,RAJ100_Moviya,,,
GUJARAT,SURENDRANAGAR,WZGJSENMAINCSC,MAIN CSC SEN CSC.,,,22
GUJARAT,SURAT,WZGJSRTANAVALA,Anaval BSNL EXCHANGE,Telephone exchange,,19
GUJARAT,SURAT,WZGJSRTARETHVG,Areth Village,Village,,33
GUJARAT,SURAT,WZGJSRTKADODXG,BSNL Exchange kadod,Telephone kadod,,11
GUJARAT,SURAT,WZGJSRTMADHIEX,Madhi,Village,,32
GUJARAT,SURAT,WZGJSRTMANGROL,Mangrol Village,Village,,12
GUJARAT,SURAT,WZGJSRTSARBHON,Sarbhon Village,Village,,2
GUJARAT,SURAT,WZGJSRTSTMMRKT,Surat Textile Market Ground floor.,Market,,1203
GUJARAT,VALSAD,WZGJVALNVSRCSC,Navsari FUWARA CSC.,,,78
GUJARAT,VALSAD,WZGJVALPGMPDMN,Parihari Grampanchayat Daman,Municipality,,155
GUJARAT,VALSAD,WZGJVALVGDADRA,Vanganga Lake Garden,Tourist Spot,,
MAHARASHTRA,AURANGABAD,WZMHAGDAIRPORT,Aurangabad Airport,Airport,,952
MAHARASHTRA,NAGPUR,WZMHNGPGODHANI, Godhani.,Municipality,Town,585
MAHARASHTRA,NAGPUR,WZMHNGPKAMPTEE,Kamptee Nagpur.,Municipality,Town,
MAHARASHTRA,NAGPUR,WZMHNGPKUHINPR,Kuhi.,Municipality,Town,607
MAHARASHTRA,NAGPUR,WZMHNGPNRNDNGR,Narendra Nagar,Municipality,,171
MAHARASHTRA,NAGPUR,WZMHNGPRTTCNPR,RTTC(BSNL Regional Telecom Training Centre) Nagapur..,BSNL Training Center,,14
MAHARASHTRA,NAGPUR,WZMHNGPSAONNER,Saoner.,Municipality,Town,599
MAHARASHTRA,NAGPUR,WZMHNGPSNCHRVR,Sanchar Vihar Nagpur.,Municipality,Town,30
MAHARASHTRA,NASIK,WZMHNSKBBSNAKT,Near Amrutkunj,Municipality,,423
MAHARASHTRA,NASIK,WZMHNSKBBTSNKU,Near Kushavart,Municipality,,65
MAHARASHTRA,NASIK,WZMHNSKBTETBSR,Trimbakeshwar-BSNL Telephone Exchange,Telephone exchange,,34
MAHARASHTRA,NASIK,WZMHNSKSWSATWR,Swami Samarth Gurupeeth,Religious Site - Ashram,,135
MAHARASHTRA,PANJI,WZMHPJMBTEMNGR,BSNL TELEPHONE EXCHANGE BLDG MANGUR.,Telephone exchange,,81
MAHARASHTRA,PANJI,WZMHPJMBTEMPSA,BSNL TELEPHONE EXCHANGE BLDG MAPUSA.,Telephone exchange,,9
MAHARASHTRA,PANJI,WZMHPJMBTEMRGA,BSNL TELEPHONE EXCHANGE BLDG MARGAO..,Telephone exchange,,58
MAHARASHTRA,PANJI,WZMHPJMBTEPATO,BSNL TELEPHONE EXCHANGE PATTO BLDG PANAJI.,Telephone exchange,,144
MAHARASHTRA,PANJI,WZMHPJMBTEPOND,BSNL TELEPHONE EXCHANGE BLDG PONDA.,Telephone exchange,,67
MAHARASHTRA,PANJI,WZMHPJMBTEVSCO,BSNL TELEPHONE EXCHANGE BLDG VASCO.,Telephone exchange,,126
MAHARASHTRA,PANJI,WZMHPJMCCDGSCB,GASPER CLUB,Club,,
MAHARASHTRA,PANJI,WZMHPJMCCDMPSA,MAPUSA CCD,Caf�,,
MAHARASHTRA,PANJI,WZMHPJMCCDPNJM,Panjim-CCD,Caf�,,
MAHARASHTRA,PUNE,WZMHPUNBHVNIPT,Bhavanipeth Exchange.,Telephone exchange,,95
MAHARASHTRA,PUNE,WZMHPUNDHKDEXC,Dhankawadi exchange.,Telephone exchange,,28
MAHARASHTRA,PUNE,WZMHPUNDYPABTS,DY Patil BTS Site.,College,,229
MAHARASHTRA,PUNE,WZMHPUNKOTHRUD,Kothrud PUNE.,Municipality,Suburb,153
MAHARASHTRA,PUNE,WZMHPUNMBLDGSN,Mangesh BLDG  Sasane Nagar Hadapsar Pune-28.,Residential,,
MAHARASHTRA,PUNE,WZMHPUNMKRECSC,MKR Ex/CSC.,,,421
MAHARASHTRA,PUNE,WZMHPUNMODLCSC,Model Colony ,Municipality,Locality,
MAHARASHTRA,PUNE,WZMHPUNRADVTCR,283 Ramesh Adhav Trade centre Wadgaon Sheri Pune-14,,,195
MAHARASHTRA,PUNE,WZMHPUNSHKRWPT,ShukrawarPethExchange.,Telephone exchange,,410
MAHARASHTRA,PUNE,WZMHPUNSWLCEXC,SHEWALE Complex exchange.,Telephone exchange,,346
MAHARASHTRA,PUNE,WZMHPUNTPEBSTM,Telephone exchange Balewadi stadium.,Telephone exchange,,
MAHARASHTRA,PUNE,WZMHPUNVIMANNR,viman Nagar,Municipality,,527
MADHYA PRADESH,BHOPAL,WZMPBPLAIIMSHS,Bhopal-AIIMS Hospital,Hospital,,2
MADHYA PRADESH,BHOPAL,WZMPBPLAIRPORT,Raja Bhoj Airport,Airport,,2702
MADHYA PRADESH,BHOPAL,WZMPBPLALOCKZ2,A Alock Building Zone-2 MP nagar Bhopal,,,351
MADHYA PRADESH,BHOPAL,WZMPBPLBDBDATE,P&T Colony Exchange,Telephone exchange,,102
MADHYA PRADESH,BHOPAL,WZMPBPLBGMUBTS,BAGMUGALIYA,Municipality,Town,160
MADHYA PRADESH,BHOPAL,WZMPBPLBSNLBTS,BSNL Bhavan,BSNL Bhavan,,125
MADHYA PRADESH,BHOPAL,WZMPBPLCIRYUHL,Chirayu College,College,,842
MADHYA PRADESH,BHOPAL,WZMPBPLCITYEXG,City Exchange  BSNL Office,Telephone exchange,,984
MADHYA PRADESH,BHOPAL,WZMPBPLHRTDODI,Highway Treat Dodi,Tourist Spot,,664
MADHYA PRADESH,BHOPAL,WZMPBPLINDRBTS,IndraPuri BTS,BSNL Office,,1191
MADHYA PRADESH,BHOPAL,WZMPBPLJPHOSPL,jp hospital,Hospital,,1085
MADHYA PRADESH,BHOPAL,WZMPBPLKARONDA,Karond Telephone exchange Bhopal,Telephone exchange,,1393
MADHYA PRADESH,BHOPAL,WZMPBPLKOEFIZA,Koh-E-Fiza Exchange Bhopal,Telephone exchange,,174
MADHYA PRADESH,BHOPAL,WZMPBPLNRMDBWN,Narmada Bhawan,Office Complex,,
MADHYA PRADESH,BHOPAL,WZMPBPLOLDSKTT,Old Sakat,Municipality,,
MADHYA PRADESH,BHOPAL,WZMPBPLPCLNBTS,Professior Colony BTS,Residential,,212
