Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
ANDHRA PRADESH,HYDERABAD,SZAPHYDKPHBCSC,CSC KPHB ,BSNL Customer Service Center,,154
ANDHRA PRADESH,HYDERABAD,SZAPHYDKRTABAD,CSC Khairatabad.,BSNL Customer Service Center,,392
ANDHRA PRADESH,HYDERABAD,SZAPHYDKSGDACS,CSC Kushaiguda -2,BSNL Customer Service Center,,2386
ANDHRA PRADESH,HYDERABAD,SZAPHYDLGMPLCS,CSC  Lingampally.,BSNL Customer Service Center,,362
ANDHRA PRADESH,HYDERABAD,SZAPHYDLUMBPRK,Lumbini Park,Park,,1381
ANDHRA PRADESH,HYDERABAD,SZAPHYDMDHPRCS,CSC Madhapur Hyderabad.,BSNL Customer Service Center,,20
ANDHRA PRADESH,HYDERABAD,SZAPHYDMEDCHAL,Medchal Suburb,Municipality,,35
ANDHRA PRADESH,HYDERABAD,SZAPHYDMSBADCS,CSC Musheerabad.,BSNL Customer Service Center,,
ANDHRA PRADESH,HYDERABAD,SZAPHYDNECLCRD,Necklace Road,Tourist Spot,,3774
ANDHRA PRADESH,HYDERABAD,SZAPHYDNIMSHSP,NIMS Hospital,Hospital,,1218
ANDHRA PRADESH,HYDERABAD,SZAPHYDPATNYCS,CSC Patny,,,66
ANDHRA PRADESH,HYDERABAD,SZAPHYDPJGTCSC,CSC  Paujagutta Hyderabad .,,,230
ANDHRA PRADESH,HYDERABAD,SZAPHYDPLZAHTL,Plaza Hotel,Hotel,,23
ANDHRA PRADESH,HYDERABAD,SZAPHYDPUBLGDN,Public Garden,Public Garden,,809
ANDHRA PRADESH,HYDERABAD,SZAPHYDSARONGR,CSC Saroor nagar.,BSNL Customer Service Center,,131
ANDHRA PRADESH,HYDERABAD,SZAPHYDSNJVPRK,Sanjeeviaya Park Hyderabad,Public Garden,,6
ANDHRA PRADESH,HYDERABAD,SZAPHYDTARABAR,Taramati Baradari Resort,Resort,,51
ANDHRA PRADESH,HYDERABAD,SZAPHYDTLBVNCS,Telephone Bhavan CSC Hyderabad,BSNL Bhavan,,1014
ANDHRA PRADESH,HYDERABAD,SZAPHYDTMLGRCS,CSC Thirumalagiri,BSNL Customer Service Center,,373
ANDHRA PRADESH,HYDERABAD,SZAPHYDTNKBKRD,Tank Bund Road,Municipality,Road,2984
ANDHRA PRADESH,HYDERABAD,SZAPHYDTRNKACS,CSC Tarnaka Hyderabad.,BSNL Customer Service Center,,597
ANDHRA PRADESH,KARIMNAGAR,SZAPKAARTCBSTD,Karimnagar TSRTC,Bus Terminal,,6958
ANDHRA PRADESH,KHAMMAM,SZAPKHMRTCBSTD,Khammam Bus stand,Bus Terminal,,5728
ANDHRA PRADESH,KURNOOL,SZAPKNLKBSERME,Kurnool Bus stand-2 ,Bus Terminal,,498
ANDHRA PRADESH,KURNOOL,SZAPKNLKBSNSMR,Kurnool Bus stand-1,Bus Terminal,,6095
