Id,States
392,Pando
393,Pernambuco
394,Tocantins
395,Rio Grande do Norte
396,Para
397,Rio de Janeiro
398,Sergipe
399,Bahia
400,Mato Grosso do Sul
401,Ceara
402,Santa Catarina
403,Maranhao
404,Rondonia
405,Distrito Federal
406,Amapa
407,Minas Gerais
408,Parana
409,Alagoas
410,Paraiba
411,Piaui
412,Acre
413,Goias
414,Espirito Santo
415,Roraima
416,Mato Grosso
417,Sao Paulo
418,Amazonas
419,Rio Grande do Sul
420,Mayaguana
421,Long Island
422,Governor's Harbour
423,Bimini
424,San Salvador and Rum Cay
425,Inagua
426,Harbour Island
427,High Rock
428,Rock Sound
429,Fresh Creek
430,Exuma
431,Freeport
432,New Providence
433,Kemps Bay
434,Marsh Harbour
435,Ragged Island
436,Cat Island
437,Acklins and Crooked Islands
438,Green Turtle Cay
439,Sandy Point
440,Nichollstown and Berry Islands
441,Geylegphug
442,Daga
443,Samchi
444,Samdrup
445,Tashigang
446,Punakha
447,Mongar
448,Chirang
449,Paro
450,Tongsa
451,Ha
452,Wangdi Phodrang
453,Lhuntshi
454,Thimphu
455,Shemgang
456,Pemagatsel
457,Bumthang
458,Chhukha
459,Central
460,Kgatleng
461,Kgalagadi
462,Southern
463,South East
464,Ghanzi
465,North West
466,North East
467,Kweneng
468,Mahilyowskaya Voblasts'
469,Brestskaya Voblasts'
470,Minskaya Voblasts'
471,Minsk
472,Vitsyebskaya Voblasts'
473,Homyel'skaya Voblasts'
474,Hrodzyenskaya Voblasts'
475,Belize
476,Cayo
477,Corozal
478,Orange Walk
479,Toledo
480,Stann Creek
481,Manitoba
482,New Brunswick
483,British Columbia
484,Newfoundland
485,Saskatchewan
486,Prince Edward Island
487,Alberta
488,Northwest Territories
489,Nunavut
490,Nova Scotia
491,Quebec
492,Yukon Territory
493,Ontario
494,Equateur
495,Maniema
496,Orientale
497,Bas Congo
498,Sud Kivu
499,Katanga
500,Nord Kivu
501,Bandundu
502,Kinshasa
503,Kasai Oriental
504,Ouaka
505,Ombella Mpoko
506,Sangha Mbaere
507,Bamingui Bangoran
508,Haut Mbomou
509,Ouham Pende
510,Ouham
511,Mambere Kadei
512,Bangui
513,Haute Kotto
514,Basse Kotto
515,Mbomou
516,Nana Grebizi
517,Lobaye
518,Cuvette Ouest
519,Kemo
520,Nana Mambere
521,Cuvette Ouest
522,Cuvette
523,Pool
524,Sangha
525,Likouala
526,Plateaux
527,Kouilou
528,Niari
529,Bouenza
530,Lekoumou
531,Brazzaville
532,Schaffhausen
533,Vaud
534,Geneve
535,Ticino
536,Uri
537,Obwalden
538,Jura
539,Basel Stadt
540,Thurgau
541,Aargau
542,Ausser Rhoden
543,Fribourg
544,Nidwalden
545,Luzern
546,Zug
547,Neuchatel
548,Basel Landschaft
549,Bern
550,Sankt Gallen
551,Graubunden
552,Valais
553,Inner Rhoden
554,Glarus
555,Schwyz
556,Solothurn
557,Zurich
558,Haut Sassandra
559,Worodougou
560,Denguele
561,Savanes
562,Moyen Comoe
563,Marahoue
564,Fromager
565,Zanzan
566,Sud Comoe
567,Agneby
568,Lacs
569,Lagunes
570,Dix Huit Montagnes
571,Sud Bandama
572,Vallee du Bandama
573,Bas Sassandra
574,N'zi Comoe
575,Bafing
576,Moyen Cavally
577,Bio Bio
578,Los Lagos
579,Region Metropolitana
580,Libertador General Bernardo O'Higgins
581,Araucania
582,Los Lagos
583,Antofagasta
584,Valparaiso
585,Atacama
586,Coquimbo
587,Los Rios
588,Magallanes y de la Antartica Chilena
589,Arica y Parinacota
590,Tarapaca
591,Aisen del General Carlos Ibanez del Campo
592,Tarapaca
593,Maule
594,Littoral
595,Nord
596,Centre
597,Est
598,Sud Ouest
599,Extreme Nord
600,Sud
601,Ouest
602,Nord Ouest
603,Adamaoua
604,Yunnan
605,Qinghai
606,Shanxi
607,Jilin
608,Hubei
609,Guangxi
610,Henan
611,Xinjiang
612,Zhejiang
613,Tianjin
614,Fujian
615,Nei Mongol
616,Guizhou
617,Ningxia
618,Beijing
619,Jiangsu
620,Liaoning
621,Sichuan
622,Shandong
623,Hebei
624,Shanghai
625,Xizang
626,Shaanxi
627,Heilongjiang
628,Chongqing
629,Hunan
630,Gansu
631,Jiangxi
632,Anhui
633,Hainan
634,Guangdong
635,Casanare
636,Bolivar
637,Cesar
638,Caldas
639,Putumayo
640,Vaupes
641,Huila
642,Quindio
643,Arauca
644,Cordoba
645,Antioquia
646,Santander
647,Boyaca
648,Risaralda
649,Valle del Cauca
650,La Guajira
651,Sucre
652,San Andres y Providencia
653,Cundinamarca
654,Caqueta
655,Magdalena
656,Atlantico
657,Meta
658,Narino
659,Distrito Especial
660,Tolima
661,Cauca
662,Amazonas
663,Vichada
664,Choco
665,Guainia
666,Guaviare
667,Norte de Santander
668,Heredia
669,Alajuela
670,Limon
671,San Jose
672,Guanacaste
673,Puntarenas
674,Cartago
675,Santiago de Cuba
676,Matanzas
677,Isla de la Juventud
678,Holguin
679,Sancti Spiritus
680,Las Tunas
681,Villa Clara
682,Camaguey
683,Pinar del Rio
684,Guantanamo
685,Ciudad de la Habana
686,La Habana
687,Granma
688,Cienfuegos
689,Ciego de Avila
690,Maio
691,Sao Nicolau
692,Santa Cruz
693,Sao Vicente
694,Santa Catarina
695,Boa Vista
696,Praia
697,Mosteiros
698,Paul
699,Sao Filipe
700,Ribeira Grande
701,Brava
702,Sal
703,Tarrafal
704,Sao Domingos
705,Sao Miguel
706,Nicosia
707,Famagusta
708,Paphos
709,Limassol
710,Kyrenia
711,Larnaca
712,Moravskoslezsky kraj
713,Karlovarsky kraj
714,Jihomoravsky kraj
715,Hlavni mesto Praha
716,Pardubicky kraj
717,Jihocesky kraj
718,Stredocesky kraj
719,Olomoucky kraj
720,Kralovehradecky kraj
721,Vysocina
722,Zlinsky kraj
723,Liberecky kraj
724,Ustecky kraj
725,Plzensky kraj
726,Bremen
727,Sachsen
728,Nordrhein Westfalen
729,Brandenburg
730,Niedersachsen
731,Berlin
732,Schleswig Holstein
733,Saarland
734,Thuringen
735,Hamburg
736,Sachsen Anhalt
737,Rheinland Pfalz
738,Hessen
739,Mecklenburg Vorpommern
740,Bayern
741,Baden Wurttemberg
742,Tadjoura
743,Dikhil
744,Obock
745,Djibouti
746,Ali Sabieh
747,Arta
748,Hovedstaden
749,Midtjylland
750,Syddanmark
751,Sjelland
752,Nordjylland
753,Saint John
754,Saint Paul
755,Saint Patrick
756,Saint Joseph
757,Saint Andrew
758,Saint Mark
759,Saint David
760,Saint Luke
761,Saint Peter
762,Saint George
763,Puerto Plata
764,Distrito Nacional
765,Santo Domingo
766,San Jose de Ocoa
767,Dajabon
768,Santiago
769,Sanchez Ramirez
770,Samana
771,El Seibo
772,Pedernales
773,Elias Pina
774,La Vega
775,Duarte
776,Espaillat
777,San Cristobal
778,Monsenor Nouel
779,Hato Mayor
780,Baoruco
781,Monte Plata
782,Distrito Nacional
783,Maria Trinidad Sanchez
784,Independencia
785,Peravia
786,Barahona
787,La Romana
788,San Pedro De Macoris
789,Valverde
790,San Juan
791,Peravia
792,La Altagracia
793,Salcedo
794,Monte Cristi
795,Azua
796,Santiago Rodriguez
797,Tipaza
798,Mascara
799,Annaba
800,Constantine
801,Medea
802,Relizane
803,Ain Temouchent
804,Saida
805,Skikda
806,Naama
807,Blida
808,Mostaganem
809,M'sila
810,Souk Ahras
811,Oum el Bouaghi
812,Tissemsilt
813,Jijel
814,Djelfa
815,Ghardaia
816,Ain Defla
817,Ouargla
818,Bouira
819,Tiaret
820,Bordj Bou Arreridj
821,Illizi
822,Oran
823,Setif
824,Biskra
825,Tizi Ouzou
826,Batna
827,Bechar
828,Alger
829,Tlemcen
830,Tindouf
831,Mila
832,Sidi Bel Abbes
833,El Oued
834,Adrar
835,Bejaia
836,El Bayadh
837,Guelma
838,Khenchela
839,Laghouat
840,Chlef
841,El Tarf
842,Boumerdes
843,Tamanghasset
844,Tebessa
845,Pastaza
846,Napo
847,Los Rios
848,Tungurahua
849,Orellana
850,Esmeraldas
851,Sucumbios
852,El Oro
853,Carchi
854,Imbabura
855,Pichincha
856,Galapagos
857,Zamora Chinchipe
858,Canar
859,Cotopaxi
860,Chimborazo
861,Manabi
862,Morona Santiago
863,Guayas
864,Bolivar
865,Loja
866,Azuay
867,Jogevamaa
868,Harjumaa
869,Tartumaa
870,Parnu
871,Kohtla Jarve
872,Valgamaa
873,Parnumaa
874,Jarvamaa
875,Saaremaa
876,Laanemaa
877,Laane Virumaa
878,Vorumaa
879,Viljandimaa
880,Tartu
881,Hiiumaa
882,Sillamae
883,Narva
884,Raplamaa
885,Ida Virumaa
886,Polvamaa
887,Tallinn
888,Asyut
889,Al Minya
890,Suhaj
891,Al Wadi al Jadid
892,Matruh
893,Ash Sharqiyah
894,Al Bahr al Ahmar
895,Al Minufiyah
896,Al Fayyum
897,Al Gharbiyah
898,Al Buhayrah
899,Aswan
900,Shamal Sina'
901,Janub Sina'
902,Bur Sa'id
903,Kafr ash Shaykh
904,Al Iskandariyah
905,Qina
906,Al Qalyubiyah
907,Al Jizah
908,Dumyat
909,Al Isma'iliyah
910,Al Qahirah
911,Bani Suwayf
912,Ad Daqahliyah
913,As Suways
914,Al Uqsur
915,Anseba
916,Debub
917,Gash Barka
918,Debubawi K'eyih Bahri
919,Ma'akel
920,Semenawi K'eyih Bahri
921,Galicia
922,Pais Vasco
923,Canarias
924,Extremadura
925,Asturias
926,Navarra
927,Islas Baleares
928,Murcia
929,Andalucia
930,Madrid
931,Catalonia
932,Castilla La Mancha
933,Cantabria
934,Comunidad Valenciana
935,Castilla y Leon
936,Aragon
937,La Rioja
938,Afar
939,YeDebub Biheroch Bihereseboch na Hizboch
940,Sumale
941,Amara
942,Dire Dawa
943,Adis Abeba
944,Gambela Hizboch
945,Oromiya
946,Tigray
947,Hareri Hizb
948,Binshangul Gumuz
949,Aland
950,Southern Finland
951,Eastern Finland
952,Western Finland
953,Oulu
954,Lapland
955,Eastern
956,Western
957,Central
958,Rotuma
959,Northern
960,Pohnpei
961,Kosrae
962,Chuuk
963,Yap
964,Provence Alpes Cote d'Azur
965,Auvergne
966,Pays de la Loire
967,Rhone Alpes
968,Limousin
969,Aquitaine
970,Nord Pas de Calais
971,Basse Normandie
972,Bourgogne
973,Midi Pyrenees
974,Haute Normandie
975,Franche Comte
976,Lorraine
977,Corse
978,Picardie
979,Poitou Charentes
980,Centre
981,Languedoc Roussillon
982,Alsace
983,Bretagne
984,Ile de France
985,Champagne Ardenne
986,Nyanga
987,Estuaire
988,Woleu Ntem
989,Haut Ogooue
990,Ogooue Maritime
991,Ogooue Lolo
992,Ogooue Ivindo
993,Moyen Ogooue
994,Ngounie
995,Portsmouth
996,St. Helens
997,Southampton
998,Stirling
999,Scottish Borders, The
1000,Rhondda Cynon Taff
1001,Southwark
1002,Cumbria
1003,Hampshire
1004,Haringey
1005,Renfrewshire
1006,Clackmannanshire
1007,Down
1008,Carrickfergus
1009,Bath and North East Somerset
1010,Kingston upon Hull, City of
1011,Kensington and Chelsea
1012,Wirral
1013,Oldham
1014,Staffordshire
1015,Windsor and Maidenhead
1016,Darlington
1017,Hammersmith and Fulham
1018,Poole
1019,Craigavon
1020,Doncaster
1021,Sunderland
1022,Glasgow City
1023,Edinburgh, City of
1024,Merthyr Tydfil
1025,Ballymoney
1026,Ballymena
1027,Havering
1028,Armagh
1029,West Dunbartonshire
1030,Surrey
1031,Pembrokeshire
1032,Newham
1033,Cookstown
1034,Peterborough
1035,Hartlepool
1036,Kirklees
1037,Warrington
1038,Merton
1039,Aberdeenshire
1040,North East Lincolnshire
1041,Wakefield
1042,North Yorkshire
1043,Trafford
1044,York
1045,Greenwich
1046,Strabane
1047,Herefordshire
1048,Lambeth
1049,Hertford
1050,Newport
1051,Gateshead
1052,Hounslow
1053,Coventry
1054,Devon
1055,Birmingham
1056,Monmouthshire
1057,Midlothian
1058,Telford and Wrekin
1059,East Dunbartonshire
1060,Belfast
1061,North Lincolnshire
1062,Norfolk
1063,South Gloucestershire
1064,Bedfordshire
1065,Cardiff
1066,Northumberland
1067,Bridgend
1068,Sefton
1069,Stoke on Trent
1070,Highland
1071,Bolton
1072,Northamptonshire
1073,Blackburn with Darwen
1074,Knowsley
1075,East Riding of Yorkshire
1076,Harrow
1077,Denbighshire
1078,Bedfordshire
1079,Wrexham
1080,Ceredigion
1081,Rotherham
1082,Flintshire
1083,Newcastle upon Tyne
1084,Derby
1085,Limavady
1086,Tower Hamlets
1087,Enfield
1088,Kent
1089,Bracknell Forest
1090,Liverpool
1091,South Tyneside
1092,Newry and Mourne
1093,Conwy
1094,Plymouth
1095,Fife
1096,Bromley
1097,Central Bedfordshire
1098,Oxfordshire
1099,Ards
1100,Falkirk
1101,East Lothian
1102,Shropshire
1103,South Lanarkshire
1104,Newtownabbey
1105,Orkney
1106,Warwickshire
1107,Torfaen
1108,Lisburn
1109,Castlereagh
1110,North Lanarkshire
1111,Hillingdon
1112,Wiltshire
1113,Stockport
1114,West Berkshire
1115,Rochdale
1116,Bradford
1117,North Ayrshire
1118,Perth and Kinross
1119,Moyle
1120,Blackpool
1121,Omagh
1122,Swindon
1123,Manchester
1124,Dungannon
1125,North Down
1126,Dundee City
1127,Southend on Sea
1128,Ealing
1129,Croydon
1130,Bristol, City of
1131,Gloucestershire
1132,North Tyneside
1133,Barking and Dagenham
1134,Solihull
1135,Lewisham
1136,Leicestershire
1137,Sheffield
1138,Larne
1139,Leicester
1140,Dorset
1141,Slough
1142,Durham
1143,Kingston upon Thames
1144,Gwynedd
1145,Neath Port Talbot
1146,Suffolk
1147,Brighton and Hove
1148,Somerset
1149,Dudley
1150,Coleraine
1151,Derry
1152,Nottinghamshire
1153,Nottingham
1154,Brent
1155,Cornwall
1156,Barnsley
1157,West Lothian
1158,Sandwell
1159,Dumfries and Galloway
1160,London, City of
1161,Moray
1162,Powys
1163,Carmarthenshire
1164,Tameside
1165,Stockton on Tees
1166,Caerphilly
1167,Calderdale
1168,Cheshire
