2346986853.2226291878.3585424609,1176
1924073773.1217272692.348083295,848
3079916779.841033243.3362751441,537
2057751333.3166137374.2758665410,481
2903297333.1732314819.1528391478,473
3371638219.4209904212.2662259702,401
19901997.2851803833.416011468,379
2370188058.3058108847.3489654065,351
3849387702.3720648606.100211678,337
573144963.1543389052.2837748956,317
335512789.4072699558.1747415900,274
1704348326.4013516655.808114237,259
4178945779.839439458.394098552,258
4040882382.4096816182.3889994945,250
941693474.2882369993.869552116,250
1558026977.3733798613.3174845071,249
2636190865.3328155996.3800542999,249
2383993786.432458520.3214716444,247
3390301579.3439612358.319510341,247
1180753213.2112491421.2769105951,246
474817519.3172224522.3965512315,245
3725416952.2103075092.2663668818,231
3380241114.1938133901.2456600970,218
3428629051.2695293923.300869127,215
229806473.3361597414.1416025909,198
1005768657.4071980058.1448033940,195
126006759.1017704647.840828909,195
3297707819.885101840.4215856344,182
1559568605.2039420248.2823823428,172
2014567338.937743177.1579994642,170
2208530714.55190162.1168569489,159
1339305042.1513653727.1829415183,156
3979679562.4290364674.4246291540,156
3725416952.1094868317.2663668818,155
3165177831.2795657367.1825555952,151
3488230057.613604375.1760119263,151
3320350605.868359285.4025585506,150
543930147.2972036188.1697357451,149
116136500.974299463.1483505409,147
3093834513.2168571807.4220966044,147
273901598.4223824834.84029489,146
251922170.1577220119.1946551906,142
2290052185.2575974719.4161437705,140
3109188368.1227379298.3692139198,140
2493744357.3365505206.3716024978,135
1027552342.509255567.2097379395,128
3311612603.2103075092.2663668818,125
2107859724.3332210690.3132928445,124
2732260227.1766716712.2722380100,124
3774743931.1160765282.1013148629,121
1387984321.2919015557.2453817304,115
1620191792.2419941118.3418357065,114
3091468094.1778367801.4028824806,113
57174201.1123327195.2207795477,113
4198396058.3038659542.1535898211,111
2094640133.1715652322.362641810,108
56177351.1425547134.4156775308,106
4014870112.4162015687.385943318,105
2588367695.1341488672.2377861965,102
2092296657.2728292453.815273292,101
2483566047.2422939290.2533083494,101
3132047124.2973820599.1986206598,101
1793793937.1890420584.133407557,100
708429798.1349662279.4280623952,100
1210730434.4018298194.1484215880,98
3701323989.1793872438.3762950187,97
256263600.981477352.129839099,96
547995242.3286818116.1072759976,96
235919114.2854845498.1847417518,95
1898749939.4100809741.3858110652,87
2405538092.756868338.1700207371,85
297687061.2853573353.3372949787,85
2432688926.1219756753.885900086,80
483487357.3222115915.273177258,78
2384888575.3735915120.1820898010,77
1111816241.2328237621.1548888480,76
3780143755.1013538768.2077030538,76
184505350.3979491737.1024345094,75
874878065.1419095372.2797196013,74
1177609571.4169183759.1781323320,72
2422006834.1583354002.2344743691,71
2777849461.3222967230.1644337134,71
2905027659.2144520947.4068123111,71
713648657.3684595852.3075284598,71
1834762880.915265967.1615115522,70
31362807.3131951103.3476944786,70
3792570587.1487298747.3370748422,70
1920859621.2797029225.2088272367,66
3308309896.1589101582.308749230,66
3815455595.519213552.2874868922,66
4174115682.1123327195.2207795477,66
769266874.2886959428.1337841764,66
2525439161.2174163255.328650689,65
3341775781.1397931322.289344232,65
505531167.3974791138.744814522,65
2148692819.3784268241.298546798,63
729788085.349720981.2652397825,63
2965818264.1037176859.1899281864,62
1572658553.633347769.2828675689,61
1691584845.396555979.511405307,61
3381207614.1037572994.973012272,61
542150623.437128466.3522878414,60
2342564487.1338742085.3508637581,58
2211067717.3258508151.2949629100,57
1429872753.3038061798.796794050,56
205503147.2578145622.1560796225,56
4172988280.2882200240.3244681517,56
2323563925.4027185668.3509645022,55
268983038.604778737.3881737899,54
3175647140.1710750279.2401493001,54
3893604838.2928381737.2456600970,54
