,,
,330,462641
,3827820047.1946844074.2966996929,6665
,60,4200
,2726843174.1945232736.2931051172,2002
,2965398157.4021559005.2755794155,1665
,459509387.3848266514.982297253,1602
,240,1563
,2935652537.2279044930.769757263,1530
,2591317290.3516052610.831034288,1444
,2991301261.1806280027.1892346802,1389
,3363763339.495070052.1828908917,1385
,2676773451.3695212176.1300430723,1285
,3915873386.4100809741.3858110652,1264
,1267422592.3026644051.2926593526,1232
,542423170.1350103576.2279138433,1205
,3287744793.3088424997.1935465255,1197
,2346986853.2226291878.3585424609,1176
,480,1173
,3545433648.3632635169.4086536855,1164
,3209719917.1218249495.231967810,1159
,180,1146=
,324274023.970556816.447441233,1073
,87464703.931619158.602303506,1066
,3274867719.1061959044.3910099203,1041
,2903243428.1311304722.184395337,1013
,2203547575.120654003.4210515155,961
,1924073773.1217272692.348083295,848
,2970192111.1259748990.3308540458,837
,2068125898.2796976027.1055684708,829
,1898749939.2049363075.3858110652,820
,3894348904.3846349750.126399921,798
,1196260393.2522428711.1393060546,791
,347104469.4218531981.1898625048,790
,285092595.520941766.2693830834,785
,445581806.3064989044.1130742573,779
,2876407511.2986735341.2568364867,770
,1077419317.2853744806.3491610296,759
,1330213440.920023390.1297660830,745
,2103609507.3251551906.2881106661,742
,1363068531.1817177657.3844924380,728
,3256674733.2132216450.1689508177,719
,1561684764.3240276048.986436828,714
,2346986853.3434284825.3585424609,700
,210095362.1206363576.70399840,697
,3109792060.3849342245.2472947905,687
,858189694.1176872807.2130745621,681
,2554103383.3219019479.3134059446,677
,360,668
,80162540.1737496231.709022419.120,668
,3903753962.1929668841.2135075441,660
,4184152005.3037202294.3156824277,655
,3343011962.1964293773.1697112696,649
,1379329569.2379438883.3734508336,628
,412915741.1009832282.3784802742,622
,120,615
,454498145.2812331078.2147549040,612
,1186347967.2069282916.2500635896,597
,1012793448.1500340497.2671725169.120,594
,2732195369.2845506848.661467422,562
,3309279150.354390375.338122850,554
,3789688971.3693442293.384130254,544
,3079916779.841033243.3362751441,537
,2037857046.2114658769.4113160581,535
,3826848146.2701354151.1582561074,532
,3514110956.3112237644.2639102153,531
,345,527
,634185913.270594781.2229576584,527
,79109830.4041127798.3531320296,523
,2549347309.3016047322.888296619,513
,2984826068.1203344241.3495482466,511
,1082200839.2609679770.3260882864,509
,2741346316.4043837218.3416662961,508
,420,504
,2368591159.785224812.2800802060,496
,21745079.1026676980.1014213225,489
,4273824172.3571574439.2995711958,485
,21185515.4152552844.594910039,483
,2057751333.3166137374.2758665410,481
,2169117446.920488019.2338976025,480
,2775934660.1087100572.3429167915,478
,1240396089.1810356894.4275643488,476
,2903297333.1732314819.1528391478,473
,797094635.164077400.2282278184,471
,4172885827.4186852991.2872374120,470
,2292450300.2338556199.423585049,468
,1649709676.3725779249.1279503014,464
,2182372908.2585979858.579355835,450
,607277178.2362383839.2097030555,444
,1162868271.1556323753.3551987732,437
,2340728292.2057305609.1162836058,433
,2717050858.3207819380.2453599911,433
,4287129843.2320109436.513669197,432
,2783861399.983586313.3962118278,431
,2163065319.951980399.2945813746,428
,2421652325.1023919104.3449917694,423
,1947999239.1793907445.2885936934,419
,3584917939.1457781560.4182354717,416
,3796201459.453278022.1019537301,412
,591105348.433628206.1937294614,411
,798045454.482428661.3591314181,410
,2427319063.533964087.2908504554,403
,3371638219.4209904212.2662259702,401
,3529018832.2252208387.721686843,397
,1305528017.55379182.759091491,392
,4204371825.3778646334.1738107656,392
,1251847679.1052208169.45116699,391
,2251577467.3433386050.4162327423,387
,19901997.2851803833.416011468,379
,4287989595.3138766587.3341860344,378
,950192740.758388026.639451716,378
,3895028833.522963609.3767464239,376
,2265216540.316413537.3244687411,375
,2283356884.2496771797.2303736391,375
,2483566047.528192703.2533083494,371
,2628688671.770309567.2043746243,368
,4024143900.2652909357.807701656,368
,293871688.656772306.3760305356,367
,2941016106.600399619.3585039156,364
,1637625035.989069750.2883809797,362
,2182990423.1003742066.2020094589,362
,1906965545.58140170.3104203549,358
,3364965640.2866998815.3042206267,356
,1719075250.3819388811.1644083936,354
,947647425.1591130038.3926004362,353
