Id,sectionMap
Segmentb151,Ashok Nagar; Bangalore
Segmentb152,Phursungi; Pune
Segmentb153,Begur; Bangalore
Segmentb154,Powai; Mumbai
Segmentb155,Vandalur; Chennai
Segmentb156,Moshi; Pune
Segmentb157,Teynampet; Chennai
Segmentb158,Sarjapur Road Till Wipro; Bangalore
Segmentb159,Kudlu; Bangalore
Segmentb160,Rajarhat; Kolkata
Segmentb161,Gottigere; Bangalore
Segmentb162,Saidapet; Chennai
Segmentb163,Mandavelipakkam; Chennai
Segmentb164,Vastral; Ahmedabad
Segmentb165,Dubai Marina; Dubai
Segmentb166,Chamarajpet; Bangalore
Segmentb167,Konanakunte; Bangalore
Segmentb168,HSR Layout; Bangalore
Segmentb169,Swargate; Pune
Segmentb170,BTM Layout; Bangalore
Segmentb171,Besant Nagar; Chennai
Segmentb172,Padur; Chennai
Segmentb173,Shivaji Nagar; Pune
Segmentb174,JP Nagar Phase 1; Bangalore
Segmentb175,Thergaon; Pune
Segmentb176,New Town; Kolkata
Segmentb177,Mylapore; Chennai
Segmentb178,Sarjapur; Bangalore
Segmentb179,Nelamangala Town; Bangalore
Segmentb180,Ulsoor; Bangalore
Segmentb181,Alwarpet; Chennai
Segmentb182,Koramangala; Bangalore
Segmentb183,Sadashiv Peth; Pune
Segmentb184,Bommasandra; Bangalore
Segmentb185,Pragathi Nagar Kukatpally; Hyderabad
Segmentb186,Appa Junction Peerancheru; Hyderabad
Segmentb187,Nizampet; Hyderabad
Segmentb188,Wagholi; Pune
Segmentb189,Sadashiva Nagar; Bangalore
Segmentb190,Dum Dum Park; Kolkata
Segmentb191,Hulimavu; Bangalore
Segmentb192,Kalpakkam; Chennai
Segmentb193,Motera; Ahmedabad
Segmentb194,Kumbalgodu; Bangalore
Segmentb195,Vasanth Nagar; Bangalore
Segmentb196,West Tambaram; Chennai
Segmentb197,Royapettah; Chennai
Segmentb198,Tollygunge; Kolkata
Segmentb199,Junnasandra; Bangalore
SegmentD0,Madipakkam; Chennai
SegmentD1,Thoraipakkam OMR; Chennai
SegmentD2,Velachery; Chennai
SegmentD3,Medavakkam; Chennai
SegmentD4,Baner; Pune
SegmentD5,Wakad; Pune
SegmentD6,Whitefield Hope Farm Junction; Bangalore
SegmentD7,Horamavu; Bangalore
SegmentD8,Kondhwa; Pune
SegmentD9,KR Puram; Bangalore
